"service_id","date","exception_type"
"C9BA353E","20231206","1"
"C9BA353E","20231207","1"
"C9BA353E","20231208","1"
"C9BA353E","20231211","1"
"C9BA353E","20231212","1"
"C9BA353E","20231213","1"
"C9BA353E","20231214","1"
"C9BA353E","20231215","1"
"C9BA353E","20231218","1"
"C9BA353E","20231219","1"
"C9BA353E","20231220","1"
"C9BA353E","20231221","1"
"C9BA353E","20231222","1"
"C9BA353E","20231226","1"
"C9BA353E","20231227","1"
"C9BA353E","20231228","1"
"C9BA353E","20231229","1"
"C9BA353E","20240102","1"
"C9BA353E","20240103","1"
"C9BA353E","20240104","1"
"C9BA353E","20240105","1"
"C9BA353E","20240108","1"
"C9BA353E","20240109","1"
"C9BA353E","20240110","1"
"C9BA353E","20240111","1"
"C9BA353E","20240112","1"
"C9BA353E","20240115","1"
"C9BA353E","20240116","1"
"C9BA353E","20240117","1"
"C9BA353E","20240118","1"
"C9BA353E","20240119","1"
"C9BA353E","20240122","1"
"C9BA353E","20240123","1"
"C9BA353E","20240124","1"
"C9BA353E","20240125","1"
"C9BA353E","20240126","1"
"C9BA353E","20240129","1"
"C9BA353E","20240130","1"
"C9BA353E","20240131","1"
"C9BA353E","20240201","1"
"C9BA353E","20240202","1"
"C9BA353E","20240205","1"
"C9BA353E","20240206","1"
"C9BA353E","20240207","1"
"C9BA353E","20240208","1"
"C9BA353E","20240209","1"
"C9BA353E","20240212","1"
"C9BA353E","20240213","1"
"C9BA353E","20240214","1"
"C9BA353E","20240215","1"
"C9BA353E","20240216","1"
"C9BA353E","20240220","1"
"C9BA353E","20240221","1"
"C9BA353E","20240222","1"
"C9BA353E","20240223","1"
"C9BA353E","20240226","1"
"C9BA353E","20240227","1"
"C9BA353E","20240228","1"
"C9BA353E","20240229","1"
"C9BA353E","20240301","1"
"05120EFE","20231209","1"
"05120EFE","20231210","1"
"05120EFE","20231216","1"
"05120EFE","20231217","1"
"05120EFE","20231223","1"
"05120EFE","20231224","1"
"05120EFE","20231225","1"
"05120EFE","20231230","1"
"05120EFE","20231231","1"
"05120EFE","20240101","1"
"05120EFE","20240106","1"
"05120EFE","20240107","1"
"05120EFE","20240113","1"
"05120EFE","20240114","1"
"05120EFE","20240120","1"
"05120EFE","20240121","1"
"05120EFE","20240127","1"
"05120EFE","20240128","1"
"05120EFE","20240203","1"
"05120EFE","20240204","1"
"05120EFE","20240210","1"
"05120EFE","20240211","1"
"05120EFE","20240217","1"
"05120EFE","20240218","1"
"05120EFE","20240219","1"
"05120EFE","20240224","1"
"05120EFE","20240225","1"
"05120EFE","20240302","1"
"05120EFE","20240303","1"
"D97B2409","20231208","1"
"D97B2409","20231215","1"
"D97B2409","20231222","1"
"D97B2409","20231229","1"
"D97B2409","20240105","1"
"D97B2409","20240112","1"
"D97B2409","20240119","1"
"D97B2409","20240126","1"
"D97B2409","20240202","1"
"D97B2409","20240209","1"
"D97B2409","20240216","1"
"D97B2409","20240223","1"
"D97B2409","20240301","1"
"766A31DE","20231206","1"
"766A31DE","20231207","1"
"766A31DE","20231208","1"
"766A31DE","20231212","1"
"766A31DE","20231213","1"
"766A31DE","20231214","1"
"766A31DE","20231215","1"
"766A31DE","20231219","1"
"766A31DE","20231220","1"
"766A31DE","20231221","1"
"766A31DE","20231222","1"
"766A31DE","20231227","1"
"766A31DE","20231228","1"
"766A31DE","20231229","1"
"766A31DE","20240103","1"
"766A31DE","20240104","1"
"766A31DE","20240105","1"
"766A31DE","20240109","1"
"766A31DE","20240110","1"
"766A31DE","20240111","1"
"766A31DE","20240112","1"
"766A31DE","20240116","1"
"766A31DE","20240117","1"
"766A31DE","20240118","1"
"766A31DE","20240119","1"
"766A31DE","20240123","1"
"766A31DE","20240124","1"
"766A31DE","20240125","1"
"766A31DE","20240126","1"
"766A31DE","20240130","1"
"766A31DE","20240131","1"
"766A31DE","20240201","1"
"766A31DE","20240202","1"
"766A31DE","20240206","1"
"766A31DE","20240207","1"
"766A31DE","20240208","1"
"766A31DE","20240209","1"
"766A31DE","20240213","1"
"766A31DE","20240214","1"
"766A31DE","20240215","1"
"766A31DE","20240216","1"
"766A31DE","20240221","1"
"766A31DE","20240222","1"
"766A31DE","20240223","1"
"766A31DE","20240227","1"
"766A31DE","20240228","1"
"766A31DE","20240229","1"
"766A31DE","20240301","1"
"28F06904","20231209","1"
"28F06904","20231216","1"
"28F06904","20231223","1"
"28F06904","20231230","1"
"28F06904","20240106","1"
"28F06904","20240113","1"
"28F06904","20240120","1"
"28F06904","20240127","1"
"28F06904","20240203","1"
"28F06904","20240210","1"
"28F06904","20240217","1"
"28F06904","20240224","1"
"28F06904","20240302","1"
"77C603A5","20231209","1"
